Academic_Momentum,Resilience_Grit,Support_Stability,Social_Ecosystem,Behavioral_Risk,Daily_Friction,Emotional_Safety
0.8599999999999999,0.6666666666666666,0.45,0.125,0.8125,0.5035971223021583,0.5454545454545454
0.61,0.33333333333333337,0.45,0.75,0.6875,0.5755395683453239,0.3636363636363636
0.62,0.0,0.55,0.5,0.3125,0.39568345323741005,0.3636363636363636
0.79,0.33333333333333337,0.7000000000000001,0.625,0.5625,0.5467625899280577,0.27272727272727276
0.49,0.16666666666666666,0.45,0.5,0.3125,0.25899280575539585,0.3636363636363636
0.98,0.6666666666666666,0.4,0.5,0.25,0.4388489208633095,0.7272727272727273
0.6799999999999999,0.5,0.55,0.375,0.4375,0.6546762589928059,0.6363636363636365
0.99,0.6666666666666666,0.30000000000000004,0.25,0.6875,0.27338129496402885,0.45454545454545453
0.71,0.16666666666666666,0.55,0.75,0.4375,0.7482014388489209,0.5454545454545454
0.87,0.16666666666666666,0.4,0.625,0.4375,0.14388489208633093,0.18181818181818182
0.24999999999999997,0.16666666666666666,0.35000000000000003,0.75,0.1875,0.7122302158273381,0.6363636363636365
0.19,0.8333333333333334,0.55,0.375,0.3125,0.6330935251798562,0.45454545454545453
0.48,0.16666666666666666,0.65,0.75,0.8125,0.19424460431654667,0.3636363636363636
0.74,0.5,0.30000000000000004,0.5,0.1875,0.15827338129496393,0.7272727272727273
0.5399999999999999,0.33333333333333337,0.15000000000000002,0.375,0.8125,0.6618705035971224,0.09090909090909088
0.59,0.5,0.5,0.375,0.3125,0.7913669064748203,0.5454545454545454
0.8799999999999999,0.6666666666666666,0.45,0.125,0.5,0.8417266187050361,0.5454545454545454
0.96,0.0,0.4,0.25,0.625,0.6690647482014389,0.27272727272727276
0.8499999999999999,0.6666666666666666,0.4,0.75,0.9375,0.22302158273381312,0.3636363636363636
0.64,0.33333333333333337,0.65,0.5,0.3125,0.48201438848920874,0.7272727272727273
0.6699999999999999,0.6666666666666666,0.4,0.25,0.5,0.5539568345323742,0.27272727272727276
0.62,0.33333333333333337,0.75,0.75,0.5,0.17266187050359694,0.3636363636363636
0.78,0.5,0.2,0.5,0.1875,0.8129496402877701,0.3636363636363636
0.74,0.8333333333333334,0.65,0.625,0.8125,0.5539568345323742,0.45454545454545453
0.6799999999999999,0.6666666666666666,0.4,0.375,0.375,0.5683453237410072,0.8181818181818181
0.73,0.6666666666666666,0.7000000000000001,0.125,0.3125,0.5611510791366907,0.3636363636363636
0.81,0.8333333333333334,0.45,0.625,0.375,0.6258992805755397,0.3636363636363636
0.5599999999999999,0.5,0.45,1.0,0.125,0.7122302158273381,0.909090909090909
0.48999999999999994,0.5,0.65,0.75,0.5625,0.510791366906475,0.27272727272727276
0.49,0.6666666666666666,0.45,0.5,0.3125,0.25899280575539585,0.6363636363636365
0.75,0.33333333333333337,0.35000000000000003,0.75,0.625,0.5539568345323742,0.27272727272727276
0.74,0.5,0.25,0.625,0.0625,0.6618705035971224,0.5454545454545454
0.17999999999999997,0.33333333333333337,0.35000000000000003,0.875,0.5,0.9136690647482013,0.45454545454545453
0.58,0.33333333333333337,0.7000000000000001,0.25,0.5,0.4172661870503598,0.5454545454545454
0.36999999999999994,0.6666666666666666,0.35000000000000003,0.5,0.875,0.7194244604316549,0.6363636363636365
0.5499999999999999,0.33333333333333337,0.4,0.375,0.75,0.6834532374100721,0.45454545454545453
0.83,0.33333333333333337,0.7000000000000001,0.25,0.5,0.0,0.8181818181818181
0.76,0.8333333333333334,0.35000000000000003,0.625,0.625,0.539568345323741,0.5454545454545454
0.78,0.33333333333333337,0.7000000000000001,0.75,0.375,0.7122302158273381,0.8181818181818181
0.5199999999999999,0.6666666666666666,0.8,0.5,0.625,0.4028776978417268,0.7272727272727273
0.8799999999999999,0.33333333333333337,0.5,0.5,0.0625,0.3237410071942446,0.45454545454545453
0.99,0.33333333333333337,0.65,0.25,0.5,0.5539568345323742,0.3636363636363636
0.48,0.8333333333333334,0.55,0.5,0.4375,0.17266187050359694,0.3636363636363636
0.64,0.5,0.45,0.625,0.3125,0.5611510791366907,0.8181818181818181
0.72,0.6666666666666666,0.55,0.375,0.625,0.49640287769784175,0.6363636363636365
0.32999999999999996,0.33333333333333337,0.75,0.375,0.625,0.5539568345323742,0.7272727272727273
0.6399999999999999,0.5,0.7000000000000001,0.625,0.75,0.446043165467626,0.5454545454545454
0.9299999999999999,0.6666666666666666,0.4,0.125,0.4375,0.3597122302158273,0.6363636363636365
0.98,0.6666666666666666,0.5,0.375,0.625,0.5827338129496404,0.18181818181818182
0.48,0.33333333333333337,0.7000000000000001,0.375,0.375,0.3597122302158273,0.6363636363636365
